head	relation	tail	time
National Action Party (Mexico)	Make statement	Criminal (Mexico)	2012-03-02
Member of Parliament (India)	Criticize or denounce	Aam Aadmi Party	2014-02-10
Member of Parliament (India)	Criticize or denounce	Information Ministry (India)	2015-04-06
Member of Parliament (India)	Criticize or denounce	Bhupinder Singh Hooda	2014-09-15
Member of Parliament (India)	Criticize or denounce	Party President (Bharatiya Janata)	2012-07-05
Member of Parliament (India)	Criticize or denounce	Head of Government (India)	2005-08-02
Ma Ying Jeou	Make pessimistic comment	Kuomintang	2005-02-07
Ma Ying Jeou	Make pessimistic comment	Military (Taiwan)	2010-06-09
Japan Self-Defense Forces	Express intent to meet or negotiate	Joint Chiefs of Staff (United States)	2015-07-09
Citizen (Thailand)	Praise or endorse	China	2007-02-19
Niger	Express intent to cooperate	Other Authorities / Officials (Mali)	2011-06-14
Niger	Express intent to cooperate	Mauritania	2010-03-18
Military Personnel - Special (Philippines)	Arrest, detain, or charge with legal action	Police (Philippines)	2006-05-16
Military Personnel - Special (Philippines)	Arrest, detain, or charge with legal action	Abu Sayyaf	2015-05-26
Military Personnel - Special (Philippines)	Arrest, detain, or charge with legal action	Military (Philippines)	2012-04-21
Military Personnel - Special (Philippines)	Arrest, detain, or charge with legal action	Abu Sayyaf	2009-08-26
Military Personnel - Special (Philippines)	Arrest, detain, or charge with legal action	Men (Indonesia)	2005-03-24
National Alliance (Iraq)	Make statement	Nuri al-Maliki	2010-12-31
Other Authorities / Officials (Mexico)	Consult	Mexico	2005-04-12
Other Authorities / Officials (Mexico)	Consult	Special Rapporteurs of the United Nations	2010-02-19
Cabinet / Council of Ministers / Advisors (Australia)	Investigate	Citizen (Australia)	2008-06-05
Jonah David Jang	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2011-11-03
Catherine Ashton	Appeal for diplomatic cooperation (such as policy support)	Other Authorities / Officials (Egypt)	2013-01-26
Catherine Ashton	Appeal for diplomatic cooperation (such as policy support)	Other Authorities / Officials (Egypt)	2013-01-30
Legislature (Iraq)	Express intent to engage in diplomatic cooperation (such as policy support)	Iraq	2007-10-03
Legislature (Iraq)	Express intent to engage in diplomatic cooperation (such as policy support)	Party Member (Iraq)	2006-02-14
Oman	Engage in negotiation	Qatar	2011-12-19
Other Authorities / Officials (Nigeria)	Praise or endorse	Government (Nigeria)	2007-12-18
Other Authorities / Officials (Nigeria)	Praise or endorse	Health Ministry (Nigeria)	2009-08-17
Other Authorities / Officials (Nigeria)	Praise or endorse	Oluṣẹgun Ọbasanjọ	2005-01-20
Other Authorities / Officials (Nigeria)	Praise or endorse	Government (Nigeria)	2012-10-05
Other Authorities / Officials (Nigeria)	Praise or endorse	Government (Nigeria)	2008-09-08
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Mexico	2009-05-27
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2012-09-20
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2011-10-24
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2009-09-10
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2008-02-21
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2005-08-15
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Women (Canada)	2014-01-07
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2014-03-28
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2009-02-12
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Drug Gang (Colombia)	2006-09-08
Other Authorities / Officials (Mexico)	Arrest, detain, or charge with legal action	Criminal (Mexico)	2009-04-19
Military Personnel (Libya)	Make statement	Al Jazeera	2012-01-25
Nawaf Salam	Make statement	Military (Lebanon)	2006-01-04
Lawyer/Attorney (Cambodia)	Arrest, detain, or charge with legal action	Men (Cambodia)	2005-06-19
Media Personnel (Liberia)	Make statement	Political Parties (Liberia)	2012-12-17
Media Personnel (Liberia)	Make statement	National Patriotic Front of Liberia	2006-06-16
Protester (Thailand)	Make statement	Villager (Thailand)	2007-05-15
Protester (Thailand)	Make statement	Abhisit Vejjajiva	2010-04-13
Protester (Thailand)	Make statement	Thailand	2006-03-30
Togo	Make a visit	France	2015-09-12
Defense / Security Ministry (Colombia)	Make statement	Ingrid Betancourt Pulecio	2010-07-12
Defense / Security Ministry (Colombia)	Make statement	Colombia	2006-10-20
Defense / Security Ministry (Colombia)	Make statement	Colombia	2008-04-01
Oman	Sign formal agreement	United States Senate	2006-09-19
Oman	Sign formal agreement	Iran	2011-04-25
Oman	Sign formal agreement	Vietnam	2013-01-23
Oman	Sign formal agreement	Qatar	2011-05-12
Oman	Sign formal agreement	Malaysia	2015-10-22
Oman	Sign formal agreement	Iran	2015-05-26
Oman	Sign formal agreement	Iran	2008-12-22
Bolivia	Express intent to meet or negotiate	Iran	2011-10-21
Bolivia	Express intent to meet or negotiate	Daniel Ortega	2007-04-27
Bolivia	Express intent to meet or negotiate	Colombia	2005-07-14
Bolivia	Express intent to meet or negotiate	Rafael Correa	2007-04-25
Bolivia	Express intent to meet or negotiate	China	2006-09-11
Bolivia	Express intent to meet or negotiate	Eduardo Rodríguez	2005-06-12
Lawyer/Attorney (Romania)	Investigate	Romania	2015-06-03
Lawyer/Attorney (Romania)	Investigate	Romania	2010-12-29
Lawyer/Attorney (Romania)	Investigate	Romania	2015-10-14
Benjamin Netanyahu	Host a visit	Angela Merkel	2011-04-07
Benjamin Netanyahu	Host a visit	Mahmoud Abbas	2010-09-17
Benjamin Netanyahu	Host a visit	Barack Obama	2014-03-01
Benjamin Netanyahu	Host a visit	High Ranking Military Personnel (Palestinian Territory, Occupied)	2012-04-18
Barack Obama	Demand diplomatic cooperation (such as policy support)	Citizen (International)	2014-09-26
Barack Obama	Demand diplomatic cooperation (such as policy support)	China	2010-05-22
Barack Obama	Demand diplomatic cooperation (such as policy support)	UN Security Council	2010-04-14
Military Personnel (Philippines)	Make an appeal or request	Military (Philippines)	2014-01-19
Military Personnel (Philippines)	Make an appeal or request	City Mayor (Philippines)	2008-03-13
Ministry (Senegal)	Praise or endorse	Macky Sall	2013-05-06
South Korea	Reduce relations	China	2013-10-18
South Korea	Reduce relations	Japan	2005-03-15
Governor (Yemen)	Engage in negotiation	Doctors Without Borders	2010-05-09
Governor (Yemen)	Engage in negotiation	Foreign Affairs (South Korea)	2010-12-28
Guatemala	Sign formal agreement	Colombia	2007-08-11
Guatemala	Sign formal agreement	Colombia	2007-08-13
Kostyantyn Gryshchenko	Express intent to meet or negotiate	Council of Representatives	2012-11-20
Population (Georgia)	Consult	Presidential Candidate (Georgia)	2007-12-13
Other Authorities / Officials (Switzerland)	Investigate	Islam Karimov	2014-03-12
Ministry (Nigeria)	Consult	Emmanuel Eweta Uduaghan	2013-03-18
Ministry (Nigeria)	Consult	Umaru Musa Yar'Adua	2009-02-10
Ministry (Nigeria)	Consult	Ministry/Department of Technology (Nigeria)	2015-12-23
Military (South Sudan)	Mobilize or increase armed forces	South Sudan	2012-08-28
Military (South Sudan)	Mobilize or increase armed forces	South Sudan	2013-07-10
Military (South Sudan)	Mobilize or increase armed forces	South Sudan	2014-01-16
Ivan Gasparovic	Criticize or denounce	Citizen (Hungary)	2007-11-05
Ivan Gasparovic	Criticize or denounce	Foreign Affairs (Slovakia)	2005-06-28
Mauritania	Expel or deport individuals	Citizen (Mauritania)	2005-08-06
Mauritania	Expel or deport individuals	Citizen (Mauritania)	2007-10-24
Armed Gang (India)	fight with small arms and light weapons	Military Personnel - Special (India)	2005-07-05
Armed Gang (India)	fight with small arms and light weapons	Men (India)	2010-10-25
Citizen (Thailand)	Express intent to provide military aid	Thailand	2007-02-14
Citizen (Thailand)	Express intent to provide military aid	Thailand	2007-01-12
Media Personnel (Australia)	Accuse	Citizen (Australia)	2009-03-19
Media Personnel (Australia)	Accuse	People Associated with the Opposition (Australia)	2010-07-22
Media Personnel (Australia)	Accuse	Citizen (Australia)	2007-07-13
Tsai Ing-wen	Criticize or denounce	Ma Ying Jeou	2011-10-21
High Ranking Military Personnel (Palestinian Territory, Occupied)	Make statement	Mahmoud Abbas	2005-04-23
High Ranking Military Personnel (Palestinian Territory, Occupied)	Make statement	Combatant (Palestinian Territory, Occupied)	2012-11-19
High Ranking Military Personnel (Palestinian Territory, Occupied)	Make statement	Combatant (Palestinian Territory, Occupied)	2012-11-17
Armed Rebel (Yemen)	Return, release person(s)	Saudi Arabian Defence Forces	2010-02-18
Armed Gang (Benin)	fight with small arms and light weapons	Citizen (Benin)	2008-08-25
Patrick Manning	Make statement	Ramesh Lawrence Maharaj	2007-12-04
Patrick Manning	Make statement	Trinidad and Tobago	2005-09-25
Patrick Manning	Make statement	Trinidad and Tobago	2006-09-08
Yasuo Fukuda	Consult	Lee Myung Bak	2007-12-30
Yasuo Fukuda	Consult	Ma Ying Jeou	2008-08-02
Yasuo Fukuda	Consult	Donald Rumsfeld	2006-05-12
Yasuo Fukuda	Consult	Wen Jiabao	2007-12-29
Yasuo Fukuda	Consult	Tony Blair	2008-01-26
Yasuo Fukuda	Consult	Head of Government (South Korea)	2008-04-21
Yasuo Fukuda	Consult	Wen Jiabao	2008-08-08
Yasuo Fukuda	Consult	Dmitry Anatolyevich Medvedev	2008-07-06
Yasuo Fukuda	Consult	Janez Jansa	2008-04-23
The Sunday Times	Make statement	Military Personnel - Special (Afghanistan)	2007-05-20
The Sunday Times	Make statement	Member of Parliament (Australia)	2008-04-28
The Sunday Times	Make statement	Party Member (United Kingdom)	2009-12-16
Head of Government (Greece)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Greece)	2011-09-10
Benedict XVI	Make a visit	Angola	2009-03-24
Benedict XVI	Make a visit	Angola	2009-02-23
Benedict XVI	Make a visit	Mexico	2012-01-23
Benedict XVI	Make a visit	Shimon Peres	2009-05-10
Benedict XVI	Make a visit	Elizabeth II	2010-09-16
Benedict XVI	Make a visit	Tanzania	2007-11-13
Benedict XVI	Make a visit	Mexico	2007-06-05
Benedict XVI	Make a visit	Middle East	2009-05-06
Benedict XVI	Make a visit	South Korea	2007-02-15
Benedict XVI	Make a visit	Angola	2010-03-22
Benedict XVI	Make a visit	Middle East	2009-05-16
Abu Bakr Abdullah al-Qirbi	Express intent to meet or negotiate	United Arab Emirates	2009-12-16
Abu Bakr Abdullah al-Qirbi	Express intent to meet or negotiate	Iran	2008-04-25
Dominican Republic	Host a visit	Ma Ying Jeou	2010-01-30
Dominican Republic	Host a visit	Rafael Correa	2010-01-30
Dominican Republic	Host a visit	China	2005-01-28
Dominican Republic	Host a visit	Herman Van Rompuy	2014-08-28
Dominican Republic	Host a visit	Ma Ying Jeou	2015-06-29
Dominican Republic	Host a visit	Ma Ying Jeou	2008-08-13
Party Member (Thailand)	Accuse	Citizen (Thailand)	2005-01-21
Party Member (Thailand)	Accuse	Citizen (Thailand)	2005-02-11
Party Member (Thailand)	Accuse	Thailand	2005-02-11
Jan Fischer	Express intent to meet or negotiate	Benjamin Netanyahu	2009-07-20
Jan Fischer	Express intent to meet or negotiate	France	2009-06-11
United Arab Emirates	Praise or endorse	Lee Myung Bak	2014-01-12
United Arab Emirates	Praise or endorse	Iran	2014-10-20
United Arab Emirates	Praise or endorse	Christine Lagarde	2011-06-15
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2014-07-01
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2015-09-02
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2010-01-30
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2005-11-29
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2014-06-05
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2005-06-10
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2012-05-29
Government (Nigeria)	Arrest, detain, or charge with legal action	Charles Taylor	2006-03-28
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2011-01-27
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2013-02-11
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2015-02-11
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2015-02-07
Government (Nigeria)	Arrest, detain, or charge with legal action	Oodua Peoples Congress	2006-02-28
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2014-05-20
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2010-10-04
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2012-04-12
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Sudan)	2015-02-07
Government (Nigeria)	Arrest, detain, or charge with legal action	Citizen (Nigeria)	2015-11-12
Domestic Affairs (Ecuador)	Make statement	Attacker (Ecuador)	2012-09-02
Barack Obama	Reduce or stop economic assistance	Iran	2015-12-27
Barack Obama	Reduce or stop economic assistance	South Korea	2010-12-21
Laos	Engage in negotiation	Wen Jiabao	2005-07-08
Laos	Engage in negotiation	Vietnam	2008-01-16
Laos	Engage in negotiation	Vietnam	2005-08-01
Protester (Thailand)	Appeal for change in leadership	Prem Tinsulanonda	2007-07-26
Behrouz Kamalvandi	Make statement	Iran	2015-03-07
Behrouz Kamalvandi	Make statement	Iran	2015-03-31
Behrouz Kamalvandi	Make statement	Iran	2014-11-22
Behrouz Kamalvandi	Make statement	Iran	2015-04-15
Behrouz Kamalvandi	Make statement	China	2015-08-31
Wendy Sherman	Make statement	Iran	2014-02-24
Wendy Sherman	Make statement	Iran	2014-10-25
Wendy Sherman	Make statement	Iran	2014-10-27
Foreign Affairs (Israel)	Consult	Amit Shah	2015-04-29
Foreign Affairs (Israel)	Consult	Algirdas Butkevičius	2015-02-17
Foreign Affairs (Israel)	Consult	Foreign Affairs (Slovakia)	2009-03-03
Foreign Affairs (Israel)	Consult	Foreign Affairs (South Africa)	2012-12-07
Foreign Affairs (Israel)	Consult	Aigars Kalvitis	2006-07-13
Foreign Affairs (Israel)	Consult	Valdis Dombrovskis	2010-08-18
Foreign Affairs (Israel)	Consult	France	2006-11-10
Foreign Affairs (Israel)	Consult	Foreign Affairs (Argentina)	2013-02-12
Foreign Affairs (Israel)	Consult	Head of Government (India)	2008-11-27
Foreign Affairs (Israel)	Consult	Algirdas Butkevičius	2015-02-16
Foreign Affairs (Israel)	Consult	Police (Ethiopia)	2005-03-31
Foreign Affairs (Israel)	Consult	Tzipi Livni	2008-11-27
Foreign Affairs (Israel)	Consult	Member of Parliament (Ukraine)	2013-04-25
Foreign Affairs (Israel)	Consult	Foreign Affairs (Denmark)	2009-01-06
Foreign Affairs (Israel)	Consult	Foreign Affairs (Argentina)	2013-01-29
Foreign Affairs (Israel)	Consult	Cabinet / Council of Ministers / Advisors (Denmark)	2005-01-21
Foreign Affairs (Israel)	Consult	France	2009-07-23
Joschka Fischer	Make an appeal or request	Portugal	2005-06-06
Sule Lamido	Praise or endorse	Citizen (Nigeria)	2015-04-02
Janez Jansa	Praise or endorse	Japan	2008-04-23
Aladdin Boroujerdi	Engage in negotiation	Media Personnel (Iran)	2006-01-21
Guerrilla (Colombia)	Conduct suicide, car, or other non-military bombing	Colombia	2007-06-24
Guerrilla (Colombia)	Conduct suicide, car, or other non-military bombing	Colombia	2012-02-02
Military Personnel (Angola)	Make statement	Angola	2010-12-06
Military Personnel (Angola)	Make statement	Angola	2014-01-21
Other Authorities / Officials (Mexico)	Provide humanitarian aid	Mexico	2015-10-23
Other Authorities / Officials (Mexico)	Provide humanitarian aid	Villager (Mexico)	2007-09-04
Other Authorities / Officials (Mexico)	Provide humanitarian aid	Mexico	2010-08-24
South Africa	Grant diplomatic recognition	Angola	2013-05-02
Military (Mexico)	Increase military alert status	Mexico	2009-12-20
China	Provide humanitarian aid	Peacekeeping Troop (African Union)	2006-09-28
China	Provide humanitarian aid	Madagascar	2006-10-31
China	Provide humanitarian aid	Sudan	2008-06-26
China	Provide humanitarian aid	African Union	2007-05-10
China	Provide humanitarian aid	Fishermen (Vietnam)	2006-05-22
China	Provide humanitarian aid	Citizen (Venezuela)	2010-12-16
China	Provide humanitarian aid	Vietnam	2014-05-20
