head	relation	tail	time
Foreign Affairs (Belarus)	Consult	Edgars Rinkevics	2015-02-20
Farouk al-Sharaa	Consult	Aladdin Boroujerdi	2012-08-27
Portugal	Sign formal agreement	Vietnam	2015-06-04
Head of Government (Ethiopia)	Engage in negotiation	Royal Administration (Saudi Arabia)	2015-10-22
Secretary of State for International Development	Consult	A.P. Sharma	2010-11-26
China	Engage in diplomatic cooperation	Sudan	2011-08-29
Iraq	Sign formal agreement	Iran	2012-01-04
Election Commission (India)	Consult	Media (India)	2010-08-31
International Monetary Fund	Express intent to cooperate	Japan	2012-06-11
Christine Lagarde	Meet at a 'third' location	Arseniy Yatsenyuk	2015-06-10
Kuwait	Consult	Iran	2005-05-02
Lawyer/Attorney (Argentina)	Consult	Attorney General (Argentina)	2014-07-18
Malaysia	Express intent to cooperate	Thailand	2014-12-01
Natig Aliyev	Consult	South Korea	2007-11-10
Supreme Council (Iraq)	Consult	Party Member (Iraq)	2010-06-17
Iraq	Consult	High Commission for Refugees	2007-04-21
Association of Southeast Asian Nations	Consult	China	2015-10-29
Tony Blair	Consult	Yasuo Fukuda	2008-01-26
Iran	Engage in negotiation	France	2015-07-09
Dmitry Anatolyevich Medvedev	Consult	Barack Obama	2010-04-20
Envoy (United States)	Engage in negotiation	Sudan	2015-09-10
South Korea	Consult	China	2009-04-15
Islam Karimov	Consult	UN Security Council	2010-12-13
Cambodia	Engage in diplomatic cooperation	Vietnam	2008-12-01
Independence Party	Sign formal agreement	Justice and Development Party	2011-12-17
Prime Minister Qarase	Consult	Frank Bainimarama	2006-11-29
Media (Africa)	Consult	Scholar (Uganda)	2011-11-23
Japan	Express intent to cooperate	South Korea	2007-10-28
South Korea	Engage in diplomatic cooperation	Iraq	2012-02-16
Abdullah Gül	Consult	Boris Vyacheslavovich Gryzlov	2009-02-15
John Odigie-Oyegun	Consult	Muhammadu Buhari	2015-04-28
Middle East	Engage in diplomatic cooperation	South Korea	2006-10-09
Oluṣẹgun Ọbasanjọ	Consult	African Union	2005-01-08
Iran	Sign formal agreement	Business (Austria)	2007-04-23
Labor and Employment Ministry (Sudan)	Sign formal agreement	Alison Manani Magaya	2009-07-04
Inter-Services Intelligence	Engage in diplomatic cooperation	Central Intelligence Agency	2011-06-13
Benjamin Netanyahu	Express intent to cooperate	Barack Obama	2015-03-19
Sudan	Express intent to cooperate	South Sudan	2013-03-21
Yoshihiko Noda	Consult	Barack Obama	2012-03-29
Guatemala	Consult	Carlos Raúl Morales	2014-11-01
South Korea	Engage in negotiation	Japan	2009-04-11
South Africa	Consult	China	2009-07-08
Barack Obama	Consult	Head of Government (Pakistan)	2009-05-19
Mexico	Consult	Colombia	2008-07-31
Mexico	Sign formal agreement	Vietnam	2006-05-11
South Korea	Consult	Japan	2005-03-17
Laos	Consult	Cambodia	2010-01-06
China	Express intent to cooperate	Association of Southeast Asian Nations	2009-04-10
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2013-03-26
Cambodia	Express intent to cooperate	Laos	2005-07-29
Barack Obama	Consult	Xi Jinping	2013-06-19
Cambodia	Engage in diplomatic cooperation	Vietnam	2006-03-28
Cabinet / Council of Ministers / Advisors (United States)	Consult	Chen Zhili	2007-01-21
Iraq	Engage in diplomatic cooperation	Iran	2012-10-05
Alan Purisima	Discuss by telephone	Inquirer	2011-01-16
Military Personnel (Philippines)	Consult	Cabinet / Council of Ministers / Advisors (United States)	2011-11-16
Benjamin Netanyahu	Consult	Barack Obama	2009-05-23
Cabinet / Council of Ministers / Advisors (Kazakhstan)	Consult	Roza Otunbayeva	2011-03-16
Eritrea	Engage in negotiation	Sudan	2006-07-30
Head of Government (Qatar)	Consult	Mahmoud Ahmadinejad	2010-08-20
Governor (Thailand)	Consult	Aree Wong Araya	2006-12-03
United Arab Emirates	Engage in diplomatic cooperation	Yemen	2005-12-26
Pervez Musharraf	Consult	Don McKinnon	2006-02-19
China	Consult	France	2006-09-14
Association of Southeast Asian Nations	Sign formal agreement	South Korea	2005-12-09
Jack Straw	Consult	Saud bin Faisal bin Abdul-Aziz	2006-04-19
Media (Sri Lanka)	Discuss by telephone	Associated Press	2006-08-30
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Daniel Mitov	2014-12-02
Mehmet Agar	Consult	Abdullah Gül	2007-04-25
Benjamin Netanyahu	Engage in negotiation	Tony Blair	2010-06-11
Party President (Uri Party)	Consult	Roh Moo Hyun	2007-02-22
Abdel Fattah Al-Sisi	Consult	Head of Government (Egypt)	2015-01-18
Colombia	Engage in negotiation	Bolivia	2005-07-05
Donald Rumsfeld	Consult	Yasuo Fukuda	2006-05-12
Foreign Affairs (South Korea)	Consult	Japan	2006-11-07
Head of Government (South Korea)	Consult	Angela Merkel	2006-09-11
Benedict XVI	Consult	Head of Government (South Korea)	2007-02-15
Barack Obama	Discuss by telephone	Uhuru Muigai Kenyatta	2015-04-04
Japan	Express intent to cooperate	China	2012-05-13
Mahmoud Abbas	Consult	Cristina Fernández de Kirchner	2009-11-01
Radoslaw Sikorski	Consult	Cabinet / Council of Ministers / Advisors (United States)	2009-02-28
China	Sign formal agreement	Malaysia	2006-08-29
Muhammad Naji al-Otari	Engage in negotiation	Ministry (Egypt)	2007-08-26
Japan	Engage in negotiation	China	2012-10-12
Xi Jinping	Consult	Barack Obama	2013-06-12
Thailand	Consult	Laos	2005-05-19
Head of Government (Egypt)	Consult	Saud bin Faisal bin Abdul-Aziz	2008-02-25
Abdullah Gül	Consult	Barack Obama	2009-04-07
France	Express intent to cooperate	Iran	2015-07-30
Protester (Egypt)	Consult	Police (Egypt)	2011-11-20
Mahmoud Ahmadinejad	Consult	Foreign Affairs (Nepal)	2009-12-22
Japan	Sign formal agreement	China	2013-06-03
Yemen	Engage in diplomatic cooperation	France	2007-06-03
Emperor Akihito	Consult	Jens Stoltenberg	2011-03-14
Shimon Peres	Consult	Iran	2009-07-08
Vietnam	Engage in diplomatic cooperation	Angola	2010-09-01
South Korea	Consult	China	2008-09-08
Japan	Express intent to cooperate	South Korea	2005-05-20
Benazir Bhutto	Sign formal agreement	Opposition Supporter (Pakistan)	2007-11-08
Samsung	Engage in negotiation	Business (Iran)	2015-01-13
Mitsubishi	Sign formal agreement	Business (Indonesia)	2007-08-21
Head of Government (Egypt)	Consult	Envoy (United States)	2009-01-28
Nuri al-Maliki	Consult	Iran	2006-09-13
China	Consult	Javier Solana	2006-10-04
Military (Mexico)	Sign formal agreement	National Action Party (Mexico)	2005-05-28
Tanzania	Consult	Angola	2007-08-07
Yemen	Consult	China	2005-12-14
China	Sign formal agreement	Thailand	2005-09-22
Iran	Consult	Iraq	2007-04-25
Kim Kye Gwan	Consult	Envoy (United States)	2011-08-02
Kazakhstan	Engage in diplomatic cooperation	China	2009-05-20
Wen Jiabao	Consult	Mikhail Yefimovich Fradkov	2005-10-25
Colombia	Sign formal agreement	Guatemala	2007-08-11
South Korea	Consult	China	2005-11-17
National Union Party (Romania)	Consult	Klaus Johannis	2015-11-10
Eritrea	Engage in negotiation	Government (Sudan)	2005-05-13
Presidential Family (Tanzania)	Consult	Citizen (Tanzania)	2015-10-05
Legislature (Turkey)	Consult	Defense / Security Ministry (United States)	2005-03-15
International Federation of Red Cross and Red Crescent Societies	Consult	Head of Government (Burundi)	2013-01-29
Foreign Affairs (India)	Consult	Madhes	2009-06-22
Vietnam	Sign formal agreement	Laos	2012-09-13
Senate (Romania)	Consult	Legislature (Romania)	2010-04-20
Roh Moo Hyun	Consult	South Korea	2005-04-16
Cambodia	Meet at a 'third' location	Thailand	2010-10-13
Cabinet / Council of Ministers / Advisors (Hungary)	Consult	Foreign Affairs (Romania)	2013-08-16
Agence France-Presse	Discuss by telephone	Media Personnel (Thailand)	2008-11-27
Cabinet / Council of Ministers / Advisors (United States)	Discuss by telephone	Saud bin Faisal bin Abdul-Aziz	2010-07-29
Vietnam	Consult	Laos	2006-11-29
China	Sign formal agreement	Ethiopia	2007-04-11
Representatives (Russia)	Consult	Iran	2014-06-12
Iran	Engage in negotiation	Sergei Ivanovich Shmatkó	2006-09-26
Benjamin Netanyahu	Consult	Barack Obama	2015-11-11
Malaysia	Consult	Thailand	2005-06-14
Guinea-Bissau	Sign formal agreement	Angola	2011-03-22
China	Engage in diplomatic cooperation	United Arab Emirates	2007-04-30
Yannis Stournaras	Consult	Antonis Samaras	2012-10-15
People First Party Korea	Consult	Ma Ying Jeou	2005-12-09
Mwai Kibaki	Consult	Environment Department/Ministry (Kenya)	2012-02-20
Court Judge (United Kingdom)	Engage in negotiation	Lawyer/Attorney (United Kingdom)	2007-10-13
Benazir Bhutto	Consult	Pervez Musharraf	2007-08-16
Noppadon Pattama	Sign formal agreement	Cambodia	2008-06-24
Vietnam	Engage in diplomatic cooperation	Malaysia	2013-09-09
Kuwait	Consult	South Korea	2011-05-06
Donald Rumsfeld	Engage in negotiation	Defense / Security Ministry (Spain)	2005-05-03
Defense / Security Ministry (United States)	Meet at a 'third' location	Vietnam	2006-05-29
Muhammadu Buhari	Consult	Sambo Dasuki	2015-07-23
Police (Indonesia)	Consult	Amir Syamsuddin	2015-06-03
United Arab Emirates	Sign formal agreement	South Korea	2012-03-06
China	Engage in negotiation	Mainland Affairs Council	2011-05-06
Portugal	Consult	Cape Verde	2011-05-24
China	Sign formal agreement	South Korea	2011-11-17
Noureddine Zerhouni	Engage in negotiation	Domestic Affairs (Spain)	2008-06-15
Barack Obama	Express intent to cooperate	Julia Gillard	2012-05-15
Iran	Engage in diplomatic cooperation	Iraq	2015-09-07
Japan	Consult	China	2005-05-08
France	Engage in negotiation	Iran	2014-09-22
Association of Southeast Asian Nations	Express intent to cooperate	China	2013-04-03
Other Authorities / Officials (Mexico)	Consult	Drug Enforcement Administration	2011-10-11
Japan	Engage in diplomatic cooperation	China	2012-12-07
Ma Ying Jeou	Sign formal agreement	China	2009-08-04
Media (Africa)	Consult	Tony Momoh	2015-07-22
Barack Obama	Consult	Bandar bin Sultan	2014-03-09
Colombia	Engage in diplomatic cooperation	Mexico	2012-09-22
Barack Obama	Express intent to cooperate	Dmitry Anatolyevich Medvedev	2010-05-14
Sher Bahadur Deuba	Consult	Party President (Nepal)	2005-06-19
Alexis Tsipras	Consult	Head of Government (Greece)	2015-09-03
Mohamed Ould Abdel Aziz	Consult	Al-Akhbar	2008-08-16
Kazakhstan	Express intent to cooperate	China	2008-04-12
Angela Merkel	Consult	Head of Government (Pakistan)	2014-11-12
Xi Jinping	Discuss by telephone	Cristina Fernández de Kirchner	2014-11-21
Liu Yandong	Consult	Japan	2012-02-16
Military (Myanmar)	Consult	Armed Separatist (Arakan)	2005-08-14
South Korea	Consult	Japan	2007-01-15
Barack Obama	Discuss by telephone	Angela Merkel	2013-07-07
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Foreign Affairs (Macedonia)	2014-04-03
Laos	Consult	Cambodia	2008-11-04
Tony Blair	Consult	Shimon Peres	2014-08-01
Philip Hammond	Consult	Iran	2015-08-23
Citizen (Australia)	Consult	Police (Australia)	2005-06-14
Gazprom	Sign formal agreement	Business (Germany)	2006-04-27
John Brennan	Consult	Benjamin Netanyahu	2015-06-09
Mahmoud Abbas	Engage in negotiation	Head of Government (Egypt)	2013-07-29
Mahmoud Abbas	Consult	Javier Solana	2005-01-23
Vietnam	Consult	Thailand	2005-09-23
African Union	Engage in diplomatic cooperation	UN Security Council	2008-01-25
France	Engage in negotiation	South Africa	2005-02-05
Muslim (United Kingdom)	Consult	Jack Straw	2006-04-01
Xi Jinping	Engage in negotiation	Barack Obama	2013-06-06
South Korea	Engage in negotiation	China	2011-12-29
Japan	Sign formal agreement	Thailand	2005-03-11
Laos	Consult	Thailand	2008-06-12
Jusuf Kalla	Consult	Ernst & Young	2005-04-25
Cabinet / Council of Ministers / Advisors (Australia)	Consult	Police (Australia)	2012-01-11
Malaysia	Engage in diplomatic cooperation	Iran	2007-01-07
Northern Alliance	Meet at a 'third' location	Congress (United States)	2012-01-09
Ma Ying Jeou	Consult	Lien Chan	2005-08-02
Qatar	Engage in diplomatic cooperation	Iran	2013-10-15
Nicos Anastasiades	Discuss by telephone	Antonis Samaras	2013-03-19
Dmitry Anatolyevich Medvedev	Consult	Lee Myung Bak	2012-03-26
Inquirer	Discuss by telephone	Sitti Djalia Turabin-Hataman	2009-03-09
Head of Government (Greece)	Consult	Company - Owner or Operator (Greece)	2009-01-13
Iran	Sign formal agreement	High Commission for Refugees	2008-01-12
A.K. Antony	Consult	Shivraj Patil	2007-07-25
Inter-Services Intelligence	Engage in diplomatic cooperation	Central Intelligence Agency	2011-05-14
Togo	Sign formal agreement	France	2009-03-02
Wen Jiabao	Engage in negotiation	Angela Merkel	2006-03-02
Evo Morales	Express intent to cooperate	Bolivia	2008-01-09
Barack Obama	Engage in negotiation	Benjamin Netanyahu	2013-02-05
Laos	Consult	Thailand	2011-12-12
Lee Myung Bak	Engage in negotiation	Japan	2008-06-02
Central Intelligence Agency	Consult	Bandar bin Sultan	2014-03-09
Iraq	Express intent to cooperate	Iran	2013-07-23
Sergei Ivanovich Shmatkó	Sign formal agreement	China	2007-11-06
Wen Jiabao	Consult	Valdas Adamkus	2006-09-28
Cape Verde	Consult	Angola	2007-10-12
China	Engage in diplomatic cooperation	Cambodia	2015-10-25
Business (Bahrain)	Engage in diplomatic cooperation	Employee (Bahrain)	2015-06-22
Head of Government (India)	Sign formal agreement	Industry (India)	2005-02-16
Dmitry Anatolyevich Medvedev	Consult	Angela Merkel	2008-08-18
Mwai Kibaki	Engage in negotiation	Malaysia	2007-04-18
Yoshihiko Noda	Engage in negotiation	Nuri al-Maliki	2011-11-22
Wen Jiabao	Express intent to cooperate militarily	Roh Moo Hyun	2007-05-23
Head of Government (Colombia)	Consult	Colombia	2008-03-30
Criminal (Australia)	Express intent to cooperate	Citizen (Australia)	2012-10-16
China	Express intent to cooperate	Japan	2015-02-06
International Government Organizations	Consult	Legislature (Africa)	2011-09-05
Supreme Council (Iraq)	Consult	Ahmad Chalabi	2010-11-08
Barack Obama	Engage in negotiation	Head of Government (Cuba)	2015-04-15
Boris Vyacheslavovich Gryzlov	Consult	Arturas Paulauskas	2005-09-12
International Monetary Fund	Consult	Representatives (Lithuania)	2009-09-28
Pervez Musharraf	Discuss by telephone	Benazir Bhutto	2007-10-19
Sergey Bagapsh	Consult	Dmitry Olegovich Rogozin	2009-07-15
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2013-09-17
South Korea	Consult	Japan	2007-03-14
Vietnam	Express intent to cooperate	Japan	2006-03-21
Wen Jiabao	Consult	China	2005-11-02
South Korea	Engage in negotiation	Japan	2013-07-31
Mahmoud Abbas	Consult	News Editor (Egypt)	2011-09-13
Djibouti	Engage in diplomatic cooperation	Ethiopia	2013-08-16
Cambodia	Express intent to cooperate	Thailand	2011-02-15
Béla Bugár	Consult	Pavol Hrusovský	2005-09-12
France	Engage in diplomatic cooperation	Kazakhstan	2014-07-22
China	Express intent to cooperate	Vietnam	2009-03-20
Malaysia	Engage in diplomatic cooperation	China	2014-04-02
Japan	Consult	Treasury/Finance Ministry (Japan)	2005-12-09
Nuri al-Maliki	Engage in negotiation	Tony Blair	2006-05-25
China	Engage in diplomatic cooperation	Vietnam	2010-03-10
South Korea	Express intent to cooperate	China	2009-05-03
Sheikh Hamad bin Isa al Khalifah	Consult	Head of Government (Pakistan)	2015-01-07
Shaukat Aziz	Engage in negotiation	Tony Blair	2006-03-06
Head of Government (Pakistan)	Consult	Pervez Musharraf	2007-05-24
Sudan	Engage in diplomatic cooperation	China	2009-11-19
Yemen	Consult	Kuwait	2005-09-18
Head of Government (Turkmenistan)	Sign formal agreement	Mahmoud Ahmadinejad	2010-11-19
Foreign Affairs (Senegal)	Consult	Sidi Ould Cheikh Abdallahi	2008-12-16
Tony Blair	Consult	Wen Jiabao	2005-09-06
Colombia	Express intent to cooperate	María Ángela Holguín	2010-08-24
Benazir Bhutto	Engage in negotiation	Pakistan People's Party	2007-08-16
Yemen	Consult	Ethiopia	2006-05-04
Vitali Klitschko	Consult	Arseniy Yatsenyuk	2014-01-26
Ministry (Sri Lanka)	Engage in negotiation	Head of Government (Sri Lanka)	2015-05-17
Jens Stoltenberg	Consult	Barack Obama	2011-10-20
International Monetary Fund	Consult	European Central Bank	2012-11-13
Mexico	Consult	Ivonne Ortega Pacheco	2012-02-10
Kuwait	Consult	Iran	2005-05-24
International Government Organizations	Consult	Head of Government (Ukraine)	2015-01-11
Angela Merkel	Consult	Barack Obama	2009-06-23
Xi Jinping	Sign formal agreement	Barack Obama	2015-04-01
Angela Merkel	Consult	Barack Obama	2015-02-02
Raúl Castro	Consult	Rafael Correa	2009-01-08
South Sudan	Sign formal agreement	Sudan	2012-09-29
Valdis Dombrovskis	Consult	Foreign Affairs (Israel)	2010-08-18
France	Sign formal agreement	Tanzania	2006-11-25
France	Meet at a 'third' location	Iran	2014-06-18
Bertie Ahern	Consult	Jack McConnell	2006-11-14
Head of Government (Egypt)	Discuss by telephone	Barack Obama	2012-11-19
Japan	Express intent to cooperate	South Korea	2006-04-27
South Korea	Consult	Japan	2005-02-11
Cristina Fernández de Kirchner	Engage in negotiation	Argentine Industrial Union	2013-08-15
Angela Merkel	Engage in negotiation	Georgios Papandreou	2011-09-15
Japan	Consult	China	2014-07-15
Alexander Vasilyevich Bortnikov	Consult	Dmitry Anatolyevich Medvedev	2014-09-15
Vietnam	Engage in negotiation	Military Personnel (India)	2007-12-20
Iran	Consult	Member of Legislative (Govt) (Lebanon)	2013-11-26
Yair Lapid	Sign formal agreement	Benjamin Netanyahu	2014-09-19
Evo Morales	Consult	Rafael Correa	2010-06-25
Head of Government (Pakistan)	Consult	Ashraf Ghani Ahmadzai	2015-11-30
Barack Obama	Engage in negotiation	Iran	2015-06-30
China	Consult	Japan	2012-05-12
Iran	Engage in diplomatic cooperation	Ireland	2014-01-07
Edgars Rinkevics	Consult	Aurelia Frick	2014-12-08
Mahmoud Ahmadinejad	Consult	Evo Morales	2009-11-25
Royal Administration (Saudi Arabia)	Consult	Mahmoud Ahmadinejad	2007-03-03
Raúl Castro	Consult	Wen Jiabao	2012-07-09
Japan	Consult	China	2007-10-30
Dmitry Anatolyevich Medvedev	Consult	Xi Jinping	2010-10-01
China	Express intent to cooperate	France	2014-11-24
Thailand	Express intent to cooperate	China	2015-04-10
Police (Philippines)	Discuss by telephone	Associated Press	2006-10-02
Dmitry Anatolyevich Medvedev	Consult	UN Security Council	2009-05-08
Cristina Fernández de Kirchner	Discuss by telephone	Head of Government (Brazil)	2007-10-30
Royal Administration (Spain)	Consult	Portugal	2014-07-07
Oluṣẹgun Ọbasanjọ	Consult	Togo	2007-01-31
Viktor Basargin	Engage in negotiation	Dmitry Anatolyevich Medvedev	2010-09-04
Iran	Sign formal agreement	China	2005-04-11
Bolivia	Consult	Evo Morales	2009-01-22
Media Personnel (International)	Consult	Wen Jiabao	2010-09-24
Mahmoud Abbas	Express intent to cooperate	Benjamin Netanyahu	2010-09-05
Sergey Kuzhugetovich Shoygu	Consult	Chuck Hagel	2013-03-26
Dmitry Anatolyevich Medvedev	Consult	Barack Obama	2014-12-10
South Africa	Sign formal agreement	Vietnam	2007-05-28
Mahmoud Abbas	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-02-21
Qatar	Consult	Head of Government (Qatar)	2012-03-13
