head	relation_x	tail	time
Pervez Musharraf	Make a visit	China	2006-06-19
France	Make a visit	Arman Kirakosyan	2008-04-09
Kuwait	Make a visit	Ali Abdullah Saleh	2005-09-19
Mulatu Teshome	Make a visit	South Korea	2015-04-26
Abdullah Gül	Make a visit	Iraq	2009-03-27
Tsai Ing-wen	Make a visit	Japan	2009-12-16
Abhisit Vejjajiva	Make a visit	Thailand	2009-01-19
Ismaïl Omar Guelleh	Make a visit	Barack Obama	2014-05-25
Uhuru Muigai Kenyatta	Make a visit	Mwai Kibaki	2013-03-14
Agence France-Presse	Make a visit	Bolivia	2007-02-25
High Commission for Refugees	Make a visit	Tanzania	2007-06-14
Xi Jinping	Make a visit	Ireland	2012-02-14
Newin Chidchob	Make a visit	Thailand	2006-08-10
Gurbanguly Berdymukhammedov	Make a visit	South Korea	2015-04-17
Angela Merkel	Make a visit	Barack Obama	2015-02-24
Xi Jinping	Make a visit	Cabinet / Council of Ministers / Advisors (United States)	2013-04-17
Hisham Qandil	Make a visit	Qatar	2013-04-18
Nuri al-Maliki	Make a visit	Kuwait	2012-05-01
Xi Jinping	Make a visit	South Korea	2009-12-29
Lien Chan	Make a visit	China	2007-08-29
Soumeylou Boubèye Maiga	Make a visit	France	2011-05-10
Tony Blair	Make a visit	Middle East	2007-07-23
Roh Moo Hyun	Make a visit	Malaysia	2005-12-08
Vietnam	Make a visit	Thongsing Thammavong	2011-08-16
Head of Government (South Korea)	Make a visit	Elizabeth II	2013-11-05
Mwai Kibaki	Make a visit	Ethiopia	2012-09-02
Envoy (United States)	Make a visit	South Korea	2012-06-14
Barack Obama	Make a visit	China	2015-06-11
Iran	Make a visit	Iraq	2008-04-20
Government Official (Taiwan)	Make a visit	China	2015-02-17
Barack Obama	Make a visit	South Africa	2013-06-08
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Japan	2007-02-22
Ricardo Alarcón de Quesada	Make a visit	Angola	2012-06-25
Ali Abdullah Saleh	Make a visit	Japan	2005-10-27
Roh Moo Hyun	Make a visit	South Korea	2007-10-30
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Islam Karimov	2010-12-03
Japan	Make a visit	Vietnam	2006-09-27
China	Make a visit	Iran	2013-12-02
Angel Luis D'Elia	Make a visit	Iran	2010-03-12
Sali Berisha	Make a visit	China	2009-04-21
Yoshihiko Noda	Make a visit	Japan	2012-03-28
Mahmoud Abbas	Make a visit	Iraq	2009-04-16
Noppadon Pattama	Make a visit	China	2008-02-27
Abdel Fattah Al-Sisi	Make a visit	Royal Administration (Saudi Arabia)	2015-03-01
Lien Chan	Make a visit	China	2014-02-18
Kuomintang	Make a visit	China	2005-04-20
Tsakhiagiyn Elbegdorj	Make a visit	France	2012-01-10
Chu Sang-song	Make a visit	China	2009-12-15
Royal Administration (Jordan)	Make a visit	Head of Government (Egypt)	2013-07-21
Mbhazima Samuel Shilowa	Make a visit	South Africa	2010-05-22
National Security Advisor (Saudi Arabia)	Make a visit	Iran	2007-01-24
Angela Merkel	Make a visit	China	2014-10-08
Foreign Affairs (Syria)	Make a visit	Iraq	2006-12-18
Iraq	Make a visit	France	2006-11-03
Mitsubishi	Make a visit	Kazakhstan	2013-08-12
Thailand	Make a visit	Cambodia	2011-09-28
Barack Obama	Make a visit	Colombia	2012-04-18
Adil Abdul-Mahdi	Make a visit	Kuwait	2010-04-07
Association of Southeast Asian Nations	Make a visit	Thailand	2009-01-07
Head of Government (India)	Make a visit	Qatar	2008-11-11
George Yeo	Make a visit	Yemen	2007-05-24
Angela Merkel	Make a visit	France	2009-10-28
South Korea	Make a visit	China	2007-01-30
African Union	Make a visit	Ethiopia	2014-02-01
Naval (United Kingdom)	Make a visit	South Korea	2013-12-05
Isaias Afewerki	Make a visit	Royal Administration (Saudi Arabia)	2015-12-21
Indigenous People (South Korea)	Make a visit	China	2009-05-25
Lee Myung Bak	Make a visit	Japan	2012-09-05
Education Ministry (Oman)	Make a visit	Yemen	2005-12-04
Business (Kuwait)	Make a visit	Iraq	2005-08-22
UN Security Council	Make a visit	Sudan	2006-06-28
Ireland	Make a visit	Romania	2006-06-02
Media Personnel (Africa)	Make a visit	China	2008-08-11
Philip Hammond	Make a visit	Iraq	2014-06-24
Ministry of Tourism (Croatia)	Make a visit	Japan	2014-11-12
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2006-10-29
Mikhail Yefimovich Fradkov	Make a visit	Japan	2007-05-24
Association of Southeast Asian Nations	Make a visit	Vietnam	2010-08-19
Vietnam	Make a visit	Thailand	2011-03-31
Envoy (United States)	Make a visit	South Korea	2009-03-02
Labor and Employment Ministry (Vietnam)	Make a visit	Angola	2013-08-08
Mahmoud Ahmadinejad	Make a visit	Iran	2013-01-31
High Ranking Military Personnel (Taiwan)	Make a visit	China	2013-05-10
African Union	Make a visit	Ethiopia	2013-06-04
Cristina Fernández de Kirchner	Make a visit	United Arab Emirates	2013-01-14
Head of Government (Turkmenistan)	Make a visit	United Arab Emirates	2007-08-27
Shaukat Aziz	Make a visit	South Korea	2005-09-30
Mogens Lykketoft	Make a visit	China	2015-10-27
Qatar	Make a visit	Yemen	2008-04-17
Jakaya Mrisho Kikwete	Make a visit	Tanzania	2005-09-30
Mahmoud Ahmadinejad	Make a visit	Oman	2007-06-02
Donald Rumsfeld	Make a visit	Thailand	2005-06-09
Nonaligned Movement	Make a visit	Iran	2012-07-31
Head of Government (Egypt)	Make a visit	China	2014-12-25
Gurbanguly Berdymukhammedov	Make a visit	Iran	2009-02-28
Dmitry Anatolyevich Medvedev	Make a visit	Japan	2010-11-14
Trond Giske	Make a visit	Angola	2011-11-23
Angela Merkel	Make a visit	United Arab Emirates	2007-02-02
Abdoulaye Wade	Make a visit	Iran	2009-11-21
Elizabeth II	Make a visit	Ireland	2011-05-21
Ricardo Cabrisas	Make a visit	Belize	2006-09-25
Mahmoud Ahmadinejad	Make a visit	Iran	2012-06-11
Pervez Musharraf	Make a visit	China	2006-06-09
Souleymane Ndéné Ndiaye	Make a visit	Business (Kuwait)	2009-11-18
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Togo	2012-01-17
African Union	Make a visit	South Africa	2015-06-25
Angela Merkel	Make a visit	Portugal	2010-04-16
Business (Iran)	Make a visit	Japan	2009-05-29
Islam Karimov	Make a visit	South Korea	2015-05-29
Wang Yi	Make a visit	Japan	2006-04-06
Esfandiar Rahim Mashaei	Make a visit	Qatar	2010-02-16
Iran	Make a visit	Iraq	2012-05-19
Abu Bakr Abdullah al-Qirbi	Make a visit	Yemen	2007-01-29
Foued Mebazaa	Make a visit	Abdullah Gül	2008-06-27
Presidential Family (United States)	Make a visit	Thailand	2008-08-08
Association of Southeast Asian Nations	Make a visit	Thailand	2008-09-13
Head of Government (Belarus)	Make a visit	Kazakhstan	2009-11-09
Protester (India)	Make a visit	Bolivia	2006-11-27
Iran	Make a visit	Iraq	2012-05-23
William J. Fallon	Make a visit	Head of Government (Turkmenistan)	2007-06-20
Media Personnel (International)	Make a visit	Colombia	2006-05-04
Shimon Peres	Make a visit	Israeli Defense Forces	2010-02-17
Angela Merkel	Make a visit	France	2008-07-15
Yemen	Make a visit	Comoros	2013-06-14
Donald Rumsfeld	Make a visit	South Korea	2005-10-24
Salvador Sánchez Cerén	Make a visit	Mexico	2015-08-12
Foreign Affairs (Israel)	Make a visit	Algirdas Butkevičius	2015-02-17
Raúl Castro	Make a visit	China	2005-04-22
Yu Zhengsheng	Make a visit	China	2015-09-27
Vincent Cable	Make a visit	Vietnam	2012-02-13
African Union	Make a visit	Ethiopia	2015-04-22
Citizen (United Kingdom)	Make a visit	South Africa	2013-09-10
Shivraj Singh Chouhan	Make a visit	South Africa	2014-08-10
Naval (United States)	Make a visit	Vietnam	2010-08-14
Heinz Fischer	Make a visit	Kuwait	2006-11-05
José Miguel Insulza	Make a visit	Belize	2010-12-16
Naval (Bangladesh)	Make a visit	China	2011-03-21
Kim Kye Gwan	Make a visit	China	2010-10-13
Pervez Musharraf	Make a visit	France	2008-01-28
Wen Jiabao	Make a visit	China	2012-10-07
Envoy (Oman)	Make a visit	Iran	2013-08-25
Jakaya Mrisho Kikwete	Make a visit	Angola	2014-05-11
Head of Government (South Korea)	Make a visit	Thailand	2009-03-26
Angela Merkel	Make a visit	China	2015-10-08
Mwai Kibaki	Make a visit	John Garang	2005-08-06
Doctors Without Borders	Make a visit	Medecins Du Monde	2008-05-13
National Front Malaysia	Make a visit	Malaysia	2010-10-27
Gurbanguly Berdymukhammedov	Make a visit	France	2011-02-26
Joint Chiefs of Staff (United States)	Make a visit	South Korea	2007-11-09
Head of Government (South Korea)	Make a visit	Cambodia	2012-11-19
Angola	Make a visit	China	2013-06-03
Jusuf Kalla	Make a visit	The Hague	2009-02-09
Head of Government (Egypt)	Make a visit	Sudan	2013-05-03
Benjamin Netanyahu	Make a visit	Middle East	2009-09-13
Abdullah Gül	Make a visit	China	2009-06-30
Iraq	Make a visit	Iran	2011-07-10
Lee Myung Bak	Make a visit	Japan	2008-08-06
Xi Jinping	Make a visit	South Africa	2015-12-07
Ma Ying Jeou	Make a visit	Kuomintang	2006-03-23
Vietnam	Make a visit	Japan	2014-07-16
Lee Myung Bak	Make a visit	Japan	2007-10-03
Foued Mebazaa	Make a visit	Zine El Abidine Ben Ali	2007-04-04
Toomas Hendrik Ilves	Make a visit	Japan	2014-03-07
A.K. Antony	Make a visit	Thailand	2013-07-03
Jakaya Mrisho Kikwete	Make a visit	Angola	2012-06-01
Mahmoud Ahmadinejad	Make a visit	Iraq	2012-12-23
Indigenous People (Taiwan)	Make a visit	China	2006-12-28
Wen Jiabao	Make a visit	South Africa	2006-06-21
Head of Government (South Korea)	Make a visit	Royal Administration (Saudi Arabia)	2007-03-26
Angela Merkel	Make a visit	France	2015-10-18
Foreign Affairs (France)	Make a visit	Iran	2013-05-28
Nuri al-Maliki	Make a visit	Kuwait	2011-02-16
Government Delegation (North Korea)	Make a visit	South Korea	2006-06-14
Abdoulaye Wade	Make a visit	France	2005-11-12
Ma Ying Jeou	Make a visit	Swaziland	2012-04-16
Sergey Kuzhugetovich Shoygu	Make a visit	Vietnam	2013-03-09
Straits Exchange Foundation	Make a visit	China	2012-12-11
Foreign Affairs (Italy)	Make a visit	Iran	2013-12-24
City Mayor (United States)	Make a visit	Japan	2013-06-18
Uhuru Muigai Kenyatta	Make a visit	Government Official (Rwanda)	2013-10-28
Hashim Thaçi	Make a visit	Catherine Ashton	2013-04-02
Defense / Security Ministry (United States)	Make a visit	Mexico	2014-04-23
Cristina Fernández de Kirchner	Make a visit	Colombia	2012-04-13
Barack Obama	Make a visit	Tanzania	2013-07-01
Georgios Papandreou	Make a visit	France	2010-03-04
Mohammad Reza Naqdi	Make a visit	Iran	2014-11-24
Head of Government (India)	Make a visit	Qatar	2008-10-31
Nguyen Xuan Phuc	Make a visit	Iran	2014-10-18
Angela Merkel	Make a visit	Mexico	2012-06-19
A.P. Sharma	Make a visit	South Africa	2012-09-24
Barack Obama	Make a visit	China	2014-03-04
Dmitry Anatolyevich Medvedev	Make a visit	France	2011-05-25
Isaias Afewerki	Make a visit	Government Official (Djibouti)	2006-11-14
President of the Senate (Rwanda)	Make a visit	China	2006-06-05
Head of Government (Ukraine)	Make a visit	Barack Obama	2014-03-14
Head of Government (Egypt)	Make a visit	France	2014-11-25
Xi Jinping	Make a visit	South Korea	2009-11-22
Ashraf Ghani Ahmadzai	Make a visit	China	2014-11-03
Jack Straw	Make a visit	Iran	2006-04-13
Nuri al-Maliki	Make a visit	Iraq	2013-06-10
Head of Government (Brazil)	Make a visit	Barack Obama	2012-04-08
Expatriate (Japan)	Make a visit	Thailand	2006-06-15
Human Rights Watch	Make a visit	Yemen	2015-05-31
Julia Gillard	Make a visit	China	2010-11-04
Wen Jiabao	Make a visit	Japan	2008-03-17
Iran	Make a visit	Oman	2007-06-08
Lee Myung Bak	Make a visit	Japan	2012-08-26
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	China	2012-12-01
Michael Sata	Make a visit	China	2014-01-02
Stephen Hadley	Make a visit	Iraq	2006-11-13
Foreign Affairs (Israel)	Make a visit	France	2009-01-01
Zhang Dejiang	Make a visit	South Korea	2015-06-13
Luis de Almagro	Make a visit	Colombia	2015-09-09
Association of Southeast Asian Nations	Make a visit	Cambodia	2012-11-14
Roh Moo Hyun	Make a visit	Shura Council	2007-03-25
Head of Government (Germany)	Make a visit	China	2015-10-27
Ali Abdullah Saleh	Make a visit	Japan	2005-11-05
Congress (United States)	Make a visit	Kazakhstan	2006-11-10
Daniel Arap Moi	Make a visit	South Sudan	2007-09-07
Ministry (Iran)	Make a visit	Oman	2008-09-24
Foreign Affairs (South Africa)	Make a visit	Iran	2013-07-25
Javier Solana	Make a visit	France	2005-11-16
Uhuru Muigai Kenyatta	Make a visit	China	2013-11-04
Isaias Afewerki	Make a visit	Qatar	2014-03-02
Muhammad VI	Make a visit	Ibrahim Boubacar Keïta	2014-02-18
Shimon Peres	Make a visit	South Korea	2011-11-15
Dmitry Anatolyevich Medvedev	Make a visit	Antonio Paulo Kassoma	2009-06-26
Oman	Make a visit	Thailand	2015-06-18
South Korea	Make a visit	Yemen	2009-03-24
Bukola Saraki	Make a visit	Head of Government (Nigeria)	2014-03-10
Aristovoulos Spiliotopoulos	Make a visit	Education (Greece)	2009-05-15
United Arab Emirates	Make a visit	Iraq	2007-08-13
China	Make a visit	Laos	2005-09-29
Vincent C. Siew	Make a visit	North America	2007-10-07
Business (Taiwan)	Make a visit	China	2007-05-21
Rafael Correa	Make a visit	Mexico	2008-04-13
France	Make a visit	Vietnam	2015-11-05
Sheikh Hamad bin Khalifa al-Thani	Make a visit	Qatar	2013-04-11
Ricardo Alarcón de Quesada	Make a visit	Vietnam	2007-06-15
Barack Obama	Make a visit	South Africa	2013-07-11
Xi Jinping	Make a visit	Japan	2009-12-08
Mahmoud Abbas	Make a visit	Mikhail Ignatyev	2012-01-30
UN Security Council	Make a visit	Burundi	2005-11-09
South Korea	Make a visit	Japan	2005-06-05
Wen Jiabao	Make a visit	China	2005-07-03
José Miguel Insulza	Make a visit	Colombia	2005-10-12
Deval Patrick	Make a visit	China	2007-11-30
Activist (United States)	Make a visit	Mexico	2012-05-24
Muhammadu Buhari	Make a visit	France	2015-11-30
Wen Jiabao	Make a visit	Japan	2007-05-16
Envoy (United States)	Make a visit	China	2005-08-13
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	Middle East	2013-11-13
William Ruto	Make a visit	The Hague	2013-05-15
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	France	2015-12-07
Abhisit Vejjajiva	Make a visit	Vietnam	2010-04-07
Iraq	Make a visit	Iran	2009-03-01
Pakistan administered Kashmir	Make a visit	Kazakhstan	2011-06-28
Head of Government (Nigeria)	Make a visit	Vietnam	2005-04-21
Daniel Ortega	Make a visit	Iran	2007-06-09
Abhisit Vejjajiva	Make a visit	Thailand	2010-11-12
Aristovoulos Spiliotopoulos	Make a visit	Education (Greece)	2009-09-15
Pedro Manuel Mamede Passos Coelho	Make a visit	Portugal	2014-11-26
Roh Moo Hyun	Make a visit	South Korea	2005-04-17
John Garang	Make a visit	Sudan	2013-01-15
National Iranian Petrochemical Company	Make a visit	China	2012-10-23
Mwai Kibaki	Make a visit	Raphael Tuju	2005-04-11
Muhammad Salem al-Ghabban	Make a visit	Iran	2015-01-18
Dahir Riyale Kahin	Make a visit	Djibouti	2009-01-11
Evo Morales	Make a visit	France	2006-01-16
Dissident (China)	Make a visit	Japan	2007-06-03
Tourist (South Korea)	Make a visit	Yemen	2009-03-20
Uhuru Muigai Kenyatta	Make a visit	Qatar	2014-05-06
Mahmoud Abbas	Make a visit	France	2014-09-20
Valdas Adamkus	Make a visit	Northern Ireland	2008-02-08
Association of Southeast Asian Nations	Make a visit	Cambodia	2012-08-28
Togo	Make a visit	Angola	2010-01-09
Japan	Make a visit	Thailand	2009-04-09
U.S. Forces Korea	Make a visit	Roh Moo Hyun	2006-05-02
Cabinet / Council of Ministers / Advisors (United States)	Make a visit	France	2007-10-29
Vietnam	Make a visit	Laos	2008-01-09
Head of Government (Turkmenistan)	Make a visit	Iran	2007-10-16
Benedict XVI	Make a visit	Head of Government (Germany)	2006-09-10
Mikhail Yefimovich Fradkov	Make a visit	Japan	2005-11-21
Xi Jinping	Make a visit	France	2014-04-10
Michael Sata	Make a visit	Japan	2012-10-10
Head of Government (Egypt)	Make a visit	France	2014-11-20
José Dirceu de Oliveira e Silva	Make a visit	Portugal	2005-08-05
Qatar	Make a visit	Sudan	2009-07-09
Kim Kye Gwan	Make a visit	China	2008-02-29
Ali Abdullah Saleh	Make a visit	Yemen	2010-10-14
Tourist (United States)	Make a visit	Mexico	2007-04-29
Lee Myung Bak	Make a visit	China	2008-09-29
Japan	Make a visit	Iran	2007-10-16
Evo Morales	Make a visit	South Africa	2006-01-02
Raheel Sharif	Make a visit	Education (Pakistan)	2014-05-31
Saud bin Faisal bin Abdul-Aziz	Make a visit	Ministry (Sudan)	2006-02-26
Abdel Fattah Al-Sisi	Make a visit	Kuwait	2015-12-31
Angela Merkel	Make a visit	Colombia	2008-05-12
Massoud Barzani	Make a visit	Iran	2011-11-01
Vietnam	Make a visit	China	2009-10-15
Head of Government (South Korea)	Make a visit	China	2013-12-19
Head of Government (Pakistan)	Make a visit	Iran	2007-02-06
Central Intelligence Agency	Make a visit	Niger	2006-07-12
Haider Al-Abadi	Make a visit	Iran	2014-10-23
Roh Moo Hyun	Make a visit	Vietnam	2006-11-18
Chris Okemo	Make a visit	South Korea	2006-09-17
Ali Abdullah Saleh	Make a visit	Qatar	2005-06-15
Iraq	Receive inspectors	Nuri al-Maliki	2007-08-29
Sudan	Receive deployment of peacekeepers	African Union	2005-10-08
Japan	Receive deployment of peacekeepers	Iran	2009-07-06
Sudan	Receive deployment of peacekeepers	African Union	2007-05-09
Sudan	Receive deployment of peacekeepers	Japan Self-Defense Forces	2008-07-18
Iraq	Receive deployment of peacekeepers	Barack Obama	2014-09-02
Sudan	Receive deployment of peacekeepers	Tanzania	2013-07-13
Sudan	Receive deployment of peacekeepers	African Union	2005-07-11
Sudan	Receive deployment of peacekeepers	African Union	2007-08-12
Sudan	Receive deployment of peacekeepers	African Union	2006-09-05
African Union	Receive deployment of peacekeepers	Djibouti	2013-11-19
Sudan	Receive deployment of peacekeepers	African Union	2007-06-25
Sudan	Receive deployment of peacekeepers	South Africa	2007-03-09
Sudan	Receive deployment of peacekeepers	African Union	2006-09-04
Sudan	Receive deployment of peacekeepers	Cambodia	2011-08-02
Sudan	Receive deployment of peacekeepers	UN Security Council	2005-09-23
Sudan	Receive deployment of peacekeepers	African Union	2006-04-29
African Union	Receive deployment of peacekeepers	Police (Senegal)	2008-12-31
Iraq	Receive deployment of peacekeepers	Barack Obama	2014-06-30
Sudan	Receive deployment of peacekeepers	African Union	2007-01-28
Sudan	Receive deployment of peacekeepers	African Union	2006-12-06
Sudan	Receive deployment of peacekeepers	China	2007-05-29
Sudan	Receive deployment of peacekeepers	African Union	2006-03-28
Sudan	Receive deployment of peacekeepers	South Africa	2010-04-20
Sudan	Receive deployment of peacekeepers	African Union	2009-10-16
Sudan	Receive deployment of peacekeepers	Ethiopia	2015-11-27
Sudan	Receive deployment of peacekeepers	Iran	2006-05-18
Sudan	Receive deployment of peacekeepers	China	2013-12-04
Middle East	Receive deployment of peacekeepers	Military of Hungary	2006-01-18
Japan	Receive deployment of peacekeepers	Iran	2009-07-07
Sudan	Receive deployment of peacekeepers	African Union	2006-09-19
Sudan	Receive deployment of peacekeepers	South Africa	2015-09-27
South Sudan	Receive deployment of peacekeepers	UN Security Council	2013-12-26
Sudan	Receive deployment of peacekeepers	Police (Egypt)	2005-08-12
Iraq	Receive deployment of peacekeepers	Kazakhstan	2006-07-24
Sudan	Receive deployment of peacekeepers	African Union	2006-12-28
Sudan	Receive deployment of peacekeepers	African Union	2006-12-22
Sudan	Receive deployment of peacekeepers	African Union	2006-03-11
Middle East	Receive deployment of peacekeepers	Shimon Peres	2011-02-03
African Union	Provide military protection or peacekeeping	Sudan	2005-11-07
UN Security Council	Provide military protection or peacekeeping	Sudan	2006-12-09
France	Provide military protection or peacekeeping	Armed Opposition (Central African Republic)	2014-04-26
Barack Obama	Provide military protection or peacekeeping	Iraq	2014-07-03
Ethiopia	Provide military protection or peacekeeping	Sudan	2009-11-19
African Union	Provide military protection or peacekeeping	Sudan	2005-03-18
Other Authorities / Officials (Armenia)	Provide military protection or peacekeeping	Iraq	2006-09-12
African Union	Provide military protection or peacekeeping	Sudan	2007-10-05
